nro_app,id_artefacto,nombre,tier,estado_app,donde_esta
213,237,Jazmín Ruhay F (Jazmín Ruhay Ferrari),,disponible,Sábado 10:30 · Pastilla — Code is law… ¿hasta que algo sale mal? (Panel debate)
216,187,Saifedean Ammous,,disponible,"Viernes 10:45 · Pastilla — What I learnt after 8 years of writing ""The Bitcoin Standard"" + Open MIC | Viernes 15:00 · Business — Tet-a-Tet con Saifedean Ammous | Viernes 18:30 · Pastilla — Why and How do we HODL Dušan Matuška , Saifedean Ammous , Jerremy Almond , Giaccomo Zucco, Giovanni Santostassi | Sábado 16:30 · Pastilla — Panel con Saifedean Ammous y otros"
217,191,Lunaticoin,,disponible,"Viernes 18:00 · Pastilla — Sirve el Maximalismo Bitcoiner | Sábado 18:00 · Pastilla — Porqué Hodleamos Lunaticoin , Alberto Mera , Papa Bitcoin , Andrés BTC , Lorena Ortiz"
218,192,Alberto Mera,,disponible,"Sábado 18:00 · Pastilla — Porqué Hodleamos Lunaticoin , Alberto Mera , Papa Bitcoin , Andrés BTC , Lorena Ortiz"
219,501,Alejandra Guajardo,,disponible,"Sábado 12:30 · ABC — Brunch ""Mujeres en Bitcoin"" Paystand + Mujeres en Crypto + Otros"
221,500,Ramiro Marra,,disponible,Sábado 14:00 · Pastilla — Usanda la Inteligencia Artifical para tu estrategia de trading
222,188,Carlos Maslatón,,disponible,Viernes 16:00 · Visión — Carlos Maslatón
223,203,Norbert,,disponible,"Viernes 15:00 · Pastilla — Encendiendo los motores del Cohete To the Moon Norbert, Joven Inversor, Papa Bitcoin, Mariel & Co."
224,204,Joven Inversor,,disponible,"Viernes 15:00 · Pastilla — Encendiendo los motores del Cohete To the Moon Norbert, Joven Inversor, Papa Bitcoin, Mariel & Co."
225,189,Santi Siri,,disponible,Viernes 12:30 · Pastilla — Explorando la frontera | Sábado 09:30 · Pastilla — Antología viva de Andreas Antonópoulos
226,190,Maximiliano Firtman,,disponible,Viernes 10:15 · Visión — Cuan cerca estamos de las AGI y las ASI y que podría pasar : Maximiliano Firtman | Viernes 10:45 · WorkShop — Creando Agentes: Workshop Oficial de OpenAI Codex. Entrega Créditos.
227,205,Papa Bitcoin,,disponible,"Viernes 15:00 · Pastilla — Encendiendo los motores del Cohete To the Moon Norbert, Joven Inversor, Papa Bitcoin, Mariel & Co. | Sábado 18:00 · Pastilla — Porqué Hodleamos Lunaticoin , Alberto Mera , Papa Bitcoin , Andrés BTC , Lorena Ortiz"
228,195,Manuel Beaudroit,,disponible,"Viernes 17:00 · Visión — Hacia donde van los Exchanges Julián Colombo, Manuel Beaudroit, Andrés Ondarra, otros"
229,194,Rodrigo Benzaquén,,disponible,Viernes 16:30 · Pastilla — Hacia donde van los negocios en un mundo de Agente e IA Daniel Rabinovich + Rodrigo Benzaquén | Sábado 11:30 · Visión — Local vs Online : Ventajas de una Infraestructura IA Propia
230,196,Román Martínez (Bitcoin Beach),,disponible,"Viernes 15:00 · ABC — LABIF: Impulsando el Impacto Real y la Adopción de Bitcoin en América Latina Luis J. Canessa, Alexandra Navarro, Román Martinez | Sábado 17:30 · Pastilla — Panel Economías Circulares Gabriel Kurman, Motiv, Bitcoin Beach, Brasil, Ivan"
231,502,Agustín Kassis,,disponible,Viernes 18:00 · Pastilla — Sirve el Maximalismo Bitcoiner
232,505,Mike Germano,,disponible,zona para reordenar — Selling Bitcoiners to Brands
234,199,Ariel Perelmann (BigSouth),,disponible,Sábado 15:30 · Pastilla — Offgrid Mining y Rentabilidad
236,504,Maximiliano Carjuzaa,,disponible,Viernes 16:00 · Pastilla — Bancos vs. DeFi
238,200,Alejandro Palantzas,,disponible,"Sábado 13:00 · Pastilla — White Paper, Lutero y Presente ""Una historia para HODLWEEN"" : Alejandro Palantzas"
241,183,Rodolfo Hornus (RH+),,disponible,Sábado 13:00 · Visión — IE vs IA (armar panel de IA y la gestion Humana)
,48,Nicolás Seguro,N1,confirmado,Viernes 13:00 · Business — FARDO : Estrategias para posicionar las marcas en las respuestas de la IA : Nicolás Seguro
,71,Camilo Jorajuria de León (duplicado),N1,disponible,Viernes 13:00 · Visión — Propiedad Intelectual e IA: ¿Vestigio del pasado o necesidad esencial para el desarrollo tecnológico?
,193,Daniel Rabinovich,,externo,Viernes 16:30 · Pastilla — Hacia donde van los negocios en un mundo de Agente e IA Daniel Rabinovich + Rodrigo Benzaquén
,197,Gustavo Hive,,externo,"Sábado 10:30 · Business — Minería en Paraguay y la región Gustavo Hive , Mario Morlas , Bruno Vacotti , El Sultán (venezuela) | Sábado 15:00 · Visión — Mirería de IA vs Minería BTC Gustavo HIVE"
,198,Mario Morlas,,externo,"Sábado 10:30 · Business — Minería en Paraguay y la región Gustavo Hive , Mario Morlas , Bruno Vacotti , El Sultán (venezuela)"
,202,Forte (Cuba),,externo,"Viernes 14:30 · ABC — Bitcoin bajo sanciones y bloqueos: Irán, Cuba, Venezuela"
,206,Mariel,,externo,"Viernes 15:00 · Pastilla — Encendiendo los motores del Cohete To the Moon Norbert, Joven Inversor, Papa Bitcoin, Mariel & Co."
,503,Dos Bancos,,manual,Viernes 16:00 · Pastilla — Bancos vs. DeFi
,506,CODEMIA,,manual,Viernes 10:15 · WorkShop — ¿Cómo funciona realmente la Inteligencia Artificial?
,507,Chicas de RIPIO,,manual,Viernes 17:30 · Visión — Que perfiles humanos buscan hoy las empresas crypto
,508,Bernie (el de RRHH),,manual,Viernes 17:30 · Visión — Que perfiles humanos buscan hoy las empresas crypto
